:Mots:Transcription Phonétique:Paires Minimales:POS:Fréquence:Synonyme:WordNet
1:['aï', 'bis']:['ai', 'bi']:['a', 'b']:['Nom', 'Nom']:['1', '1']:['sloth.n', 'encore.n']:"{'aï': ""{'hypernym': 'reluctance.n 'eng_derivative': 'faineant.s} "", 'bis': ""{'hypernym': 'performance.n 'eng_derivative': 'encore.v}""}"
2:['allée', 'blé']:['ale', 'ble']:['a', 'b']:['Nom', 'Nom']:['2', '2']:['driveway.n', 'grain.n']:"{'allée': ""{'hypernym': 'road.n 'eng_derivative': 'drive.v.12')} "", 'blé': ""{'hypernym': 'metric_weight_unit.n 'holo_part': 'decigram.n}""}"
3:['aller', 'blé']:['ale', 'ble']:['a', 'b']:['Nom', 'Nom']:['2', '2']:['go.n', 'grain.n']:"{'aller': ""{'hypernym': 'shift.n 'eng_derivative': 'move.v.15')} "", 'blé': ""{'hypernym': 'metric_weight_unit.n 'holo_part': 'decigram.n}""}"
4:['août', 'boue']:['au', 'bu']:['a', 'b']:['Nom', 'Nom']:['1', '3']:['august.n', 'sludge.n']:"{'août': ""{'hypernym': 'gregorian_calendar_month.n 'holo_part': 'gregorian_calendar.n} "", 'boue': ""{'hypernym': 'matter.n 'eng_derivative': 'slimed.s}""}"
5:['août', 'bout']:['au', 'bu']:['a', 'b']:['Nom', 'Nom']:['1', '2']:['august.n', 'end.n']:"{'août': ""{'hypernym': 'gregorian_calendar_month.n 'holo_part': 'gregorian_calendar.n} "", 'bout': ""{'hypernym': 'point.n 'near_antonym': 'middle.n 'eng_derivative': 'end.v.03')}""}"
6:['arôme', 'brome']:['aʁom', 'bʁom']:['a', 'b']:['Nom', 'Nom']:['3', '3']:['aroma.n', 'bromine.n']:"{'arôme': ""{'hypernym': 'smell.n 'eng_derivative': 'perfume.v} "", 'brome': ""{'hypernym': 'halogen.n 'holo_portion': 'seawater.n 'eng_derivative': 'bromic.a}""}"
7:['arroche', 'broche']:['aʁɔʃ', 'bʁɔʃ']:['a', 'b']:['Nom', 'Nom']:['3', '2']:['orach.n', 'personal_identification_number.n']:"{'arroche': ""{'hypernym': 'herb.n 'holo_member': 'atriplex.n} "", 'broche': ""{'hypernym': 'number.n}""}"
8:['août', 'doux']:['au', 'du']:['a', 'd']:['Nom', 'Adverbe']:['1', '1']:['august.n', 'sweet.n']:"{'août': ""{'hypernym': 'gregorian_calendar_month.n 'holo_part': 'gregorian_calendar.n} "", 'doux': ""{'instance_hypernym': 'phonetician.n}""}"
9:['ara', 'drap']:['aʁa', 'dʁa']:['a', 'd']:['Nom', 'Nom']:['2', '2']:['macaw.n', 'sheet.n']:"{'ara': ""{'hypernym': 'parrot.n 'holo_member': 'ara.n} "", 'drap': ""{'hypernym': 'expanse.n}""}"
10:['arracher', 'dracher']:['aʁaʃe', 'dʁaʃe']:['a', 'd']:['Verbe', 'Verbe']:['1', '3']:['cheat.v', 'pour.v']:"{'arracher': ""{'hypernym': 'victimize.v 'subevent': 'deceive.v 'eng_derivative': 'deceiver.n} "", 'dracher': ""{'hypernym': 'rain.v 'eng_derivative': 'downpour.n}""}"
11:['arrivée', 'driver']:['aʁive', 'dʁive']:['a', 'd']:['Nom', 'Verbe']:['3', '2']:['arrival.n', 'driver.n']:"{'arrivée': ""{'hypernym': 'traveler.n 'eng_derivative': 'arrive.v} "", 'driver': ""{'hypernym': 'utility_program.n 'eng_derivative': 'drive.v.20') 'category_domain': 'computer_science.n}""}"
12:['arriver', 'driver']:['aʁive', 'dʁive']:['a', 'd']:['Verbe', 'Verbe']:['3', '2']:['come.v.', 'driver.n']:"{'arriver': ""{'hypernym': 'be.v 'verb_group': 'come.v} "", 'driver': ""{'hypernym': 'utility_program.n 'eng_derivative': 'drive.v.20') 'category_domain': 'computer_science.n}""}"
13:['accueil', 'écueil']:['akœj', 'ekœj']:['a', 'e']:['Nom', 'Nom']:['1', '2']:['host.n', 'reef.n']:"{'accueil': ""{'hypernym': 'organization.n} "", 'écueil': ""{'hypernym': 'ridge.n 'eng_derivative': 'reefy.s}""}"
14:['acquitter', 'équité']:['akite', 'ekite']:['a', 'e']:['Verbe', 'Nom']:['1', '2']:['behave.v', 'paleness.n']:"{'acquitter': ""{'hypernym': 'act.v 'eng_derivative': 'bearing.n} "", 'équité': ""{'hypernym': 'complexion.n 'eng_derivative': 'fair.s.10')}""}"
15:['addition', 'édition']:['adisjɔ̃', 'edisjɔ̃']:['a', 'e']:['Nom', 'Nom']:['3', '1']:['addition.n', 'publisher.n']:"{'addition': ""{'hypernym': 'indefinite_quantity.n 'eng_derivative': 'increase.v} "", 'édition': ""{'hypernym': 'owner.n 'eng_derivative': 'print.v}""}"
16:['affectif', 'effectif']:['afɛktif', 'efɛktif']:['a', 'e']:['Nom', 'Nom']:['2', '1']:['affectional.s', 'personnel_department.n']:"{'affectif': ""{'similar_to': 'emotional.a 'eng_derivative': 'affect.n} "", 'effectif': ""{'hypernym': 'department.n}""}"
17:['affronter', 'effronté']:['afʁɔ̃te', 'efʁɔ̃te']:['a', 'e']:['Verbe', 'Nom']:['2', '1']:['front.v', 'presumption.n']:"{'affronter': ""{'hypernym': 'lie.v 'near_antonym': 'back.v 'verb_group': 'face.v.04') 'eng_derivative': 'frontage.n.02')} "", 'effronté': ""{'hypernym': 'audacity.n 'eng_derivative': 'assumptive.s}""}"
18:['agir', 'hégire']:['aʒiʁ', 'eʒiʁ']:['a', 'e']:['Verbe', 'Nom']:['2', '1']:['act.v', 'hegira.n']:"{'agir': ""{'hypernym': 'be.v 'verb_group': 'act.v.10') 'eng_derivative': 'act.n.04')} "", 'hégire': ""{'instance_hypernym': 'escape.n}""}"
19:['allocution', 'élocution']:['alɔkysjɔ̃', 'elɔkysjɔ̃']:['a', 'e']:['Nom', 'Nom']:['1', '2']:['speech.n', 'elocution.n']:"{'allocution': ""{'hypernym': 'speaking.n 'eng_derivative': 'talk.v} "", 'élocution': ""{'hypernym': 'manner_of_speaking.n 'eng_derivative': 'elocutionist.n}""}"
20:['ana', 'année']:['ana', 'ane']:['a', 'e']:['Nom', 'Nom']:['1', '2']:['pineapple.n', 'year.n']:"{'ana': ""{'hypernym': 'herb.n 'holo_member': 'ananas.n} "", 'année': ""{'hypernym': 'time_period.n}""}"
21:['année', 'henné']:['ane', 'ene']:['a', 'e']:['Nom', 'Nom']:['2', '2']:['year.n', 'henna.n']:"{'année': ""{'hypernym': 'time_period.n} "", 'henné': ""{'hypernym': 'hair_dye.n 'eng_derivative': 'henna.v}""}"
22:['annoncer', 'énoncé']:['anɔ̃se', 'enɔ̃se']:['a', 'e']:['Verbe', 'Nom']:['2', '1']:['declare.v', 'utterance.n']:"{'annoncer': ""{'hypernym': 'proclaim.v} "", 'énoncé': ""{'hypernym': 'auditory_communication.n 'eng_derivative': 'utter.v}""}"
23:['annoncer', 'énoncer']:['anɔ̃se', 'enɔ̃se']:['a', 'e']:['Verbe', 'Verbe']:['2', '1']:['declare.v', 'articulate.v']:"{'annoncer': ""{'hypernym': 'proclaim.v} "", 'énoncer': ""{'hypernym': 'state.v 'eng_derivative': 'enunciation.n}""}"
24:['annonciation', 'énonciation']:['anɔ̃sjasjɔ̃', 'enɔ̃sjasjɔ̃']:['a', 'e']:['Nom', 'Nom']:['2', '2']:['announcement.n', 'enunciation.n']:"{'annonciation': ""{'hypernym': 'statement.n 'eng_derivative': 'proclaim.v} "", 'énonciation': ""{'hypernym': 'articulation.n 'eng_derivative': 'pronounce.v}""}"
25:['apathie', 'appétit']:['apati', 'apeti']:['a', 'e']:['Nom', 'Nom']:['2', '1']:['apathy.n', 'appetite.n']:"{'apathie': ""{'hypernym': 'feeling.n 'eng_derivative': 'apathetic.s} "", 'appétit': ""{'hypernym': 'craving.n 'eng_derivative': 'appetent.s}""}"
26:['approuver', 'éprouver']:['apʁuve', 'epʁuve']:['a', 'e']:['Verbe', 'Verbe']:['2', '2']:['second.v', 'test.v']:"{'approuver': ""{'hypernym': 'support.v 'verb_group': 'back.v 'eng_derivative': 'subscriber.n} "", 'éprouver': ""{'hypernym': 'be.v 'eng_derivative': 'test.n}""}"
27:['assassinat', 'assassiner']:['asasina', 'asasine']:['a', 'e']:['Nom', 'Verbe']:['1', '1']:['character_assassination.n', 'assassinate.v']:"{'assassinat': ""{'hypernym': 'defamation.n 'eng_derivative': 'assassinate.v} "", 'assassiner': ""{'hypernym': 'kill.v 'eng_derivative': 'assassin.n}""}"
28:['avènement', 'évènement']:['avɛnmɑ̃', 'evɛnmɑ̃']:['a', 'e']:['Nom', 'Nom']:['1', '1']:['advent.n', 'event.n']:"{'avènement': ""{'hypernym': 'season.n 'holo_part': 'church_calendar.n} "", 'évènement': ""{'hypernym': 'psychological_feature.n}""}"
29:['avènement', 'événement']:['avɛnmɑ̃', 'evɛnmɑ̃']:['a', 'e']:['Nom', 'Nom']:['1', '1']:['advent.n', 'occurrence.n']:"{'avènement': ""{'hypernym': 'season.n 'holo_part': 'church_calendar.n} "", 'événement': ""{'hypernym': 'presence.n}""}"
30:['carat', 'carré']:['kaʁa', 'kaʁe']:['a', 'e']:['Nom', 'Nom']:['2', '1']:['carat.n', 'square.n']:"{'carat': ""{'hypernym': 'metric_weight_unit.n 'holo_part': 'gram.n} "", 'carré': ""{'hypernym': 'shape.n}""}"
31:['carat', 'carrer']:['kaʁa', 'kaʁe']:['a', 'e']:['Nom', 'Verbe']:['2', '1']:['carat.n', 'print.v']:"{'carat': ""{'hypernym': 'metric_weight_unit.n 'holo_part': 'gram.n} "", 'carrer': ""{'hypernym': 'produce.v 'eng_derivative': 'publisher.n}""}"
32:['cérat', 'serré']:['seʁa', 'seʁe']:['a', 'e']:['Nom', 'Adverbe']:['3', '3']:['cerate.n', 'cramped.s']:"{'cérat': ""{'hypernym': 'ointment.n} "", 'serré': ""{'similar_to': 'incommodious.a}""}"
33:['cérat', 'serrer']:['seʁa', 'seʁe']:['a', 'e']:['Nom', 'Verbe']:['3', '3']:['cerate.n', 'stow.v']:"{'cérat': ""{'hypernym': 'ointment.n} "", 'serrer': ""{'hypernym': 'pack.v 'eng_derivative': 'stowage.n}""}"
34:['castrat', 'castrer']:['kastʁa', 'kastʁe']:['a', 'e']:['Nom', 'Verbe']:['1', '2']:['eunuch.n', 'geld.v']:"{'castrat': ""{'hypernym': 'man.n 'eng_derivative': 'emasculate.v} "", 'castrer': ""{'hypernym': 'emasculate.v 'eng_derivative': 'gelding.n}""}"
35:['coda', 'coder']:['kɔda', 'kɔde']:['a', 'e']:['Nom', 'Verbe']:['2', '2']:['finale.n', 'code.v']:"{'coda': ""{'hypernym': 'conclusion.n 'holo_part': 'musical_composition.n} "", 'coder': ""{'hypernym': 'encode.v 'eng_derivative': 'programmer.n}""}"
36:['cola', 'coller']:['kɔla', 'kɔle']:['a', 'e']:['Nom', 'Verbe']:['1', '2']:['cola.n', 'glue.v']:"{'cola': ""{'hypernym': 'dilleniid_dicot_genus.n 'holo_member': 'sterculiaceae.n} "", 'coller': ""{'hypernym': 'attach.v 'eng_derivative': 'paste.n}""}"
37:['combinat', 'combiner']:['kɔ̃bina', 'kɔ̃bine']:['a', 'e']:['Nom', 'Verbe']:['3', '1']:['trust.n', 'unite.v']:"{'combinat': ""{'hypernym': 'consortium.n 'eng_derivative': 'combine.v} "", 'combiner': ""{'hypernym': 'have.v 'eng_derivative': 'combining.n}""}"
38:['concordat', 'concorder']:['kɔ̃kɔʁda', 'kɔ̃kɔʁde']:['a', 'e']:['Nom', 'Verbe']:['1', '2']:['covenant.n', 'conform.v']:"{'concordat': ""{'hypernym': 'written_agreement.n 'eng_derivative': 'covenant.v} "", 'concorder': ""{'near_antonym': 'deviate.v 'eng_derivative': 'conformity.n}""}"
